comment_id,author,text,time,votes,photo
UgzY5YsHIUOfdqHm1L54AaABAg.AYQsFMTgiM_AYQsixKP278,@RedmiDandang,😅😅😅😅,9 jam yang lalu,0,https://yt3.ggpht.com/ytc/AIdro_l-WPruEngifbfolAJ9ooMYouWRIljSLSUdcbFXhpBKLR2w067aQRcH7LDc0zzrTdX9yg=s88-c-k-c0x00ffffff-no-rj
UgxZna-W8-k8pkD-iRx4AaABAg.AYQxm43zwA5AYRrTvTP885,@HpInfinik-g9o,"Emang bener adanya bang 
Gua salah satu mahasiswa universitas Bogor pas jam istirahat tiba tiba ada arahan dari ibu ibu untuk demo dan di bayar 250+BBM gratis untuk demo",6 menit yang lalu,0,https://yt3.ggpht.com/ytc/AIdro_krOvw37jTzdXxKx9LLxqthA0TYsfEMIBqW17GhNiJZj6fAXWZX5VrvzLyMIgKzxEDtDw=s88-c-k-c0x00ffffff-no-rj
UgxvcgfT8STBnGAcTSF4AaABAg,@musliadi4256,"Mau ada bayar atau tidak , yang penting untuk kemakmuran Ekonomi yang sangat sulit saat ini ' dari pada diam Para oknum pejabat menguras Ke Uangan Negri ini demi kepentingan pribadi dengan menyalahgunakan keuangan dengan menipulasi... Itu kata politik Omon omon aja mana dia tau..",7 jam yang lalu,0,https://yt3.ggpht.com/pJhUOuN_4xbDrmE3TZZ4j6r64qp7So0A5uBVaNAYJIPWBWqgzuHHeugejuUhGKeNZoc8b-vh=s88-c-k-c0x00ffffff-no-rj
UgzdWOEc8XLRFGw8RjR4AaABAg,@AdiWinoto-e5m,TOLONG JAUHIN DARI MIC😅😂,5 jam yang lalu,0,https://yt3.ggpht.com/ytc/AIdro_l5LLkTg-D-orAjIv3QnONs9TM45y_AotBXm2mRPRn4eltxYktPs1EaE6EeEfGMXSfLHQ=s88-c-k-c0x00ffffff-no-rj
UgwY0fiZWqE0anoSTeB4AaABAg,@emiroostikowati7135,Yang bayar demo udah jelas itu yg banyak duwidnya bikin ngancuri pak Prabowo 😂😂,9 jam yang lalu,1,https://yt3.ggpht.com/ytc/AIdro_nLaihxDFVmnJ3BNrRAmxQrbA_mCKWJCT4LKngxCiB_0GgMeT12zvtvULsylDTrrmZaZg=s88-c-k-c0x00ffffff-no-rj
UgzjFisw0OH7xb9lTRd4AaABAg,@backreamcool5667,Sekali menang malah bikin negara kacau balau!,2 jam yang lalu,0,https://yt3.ggpht.com/ytc/AIdro_nSY3SKVIB-lh59yGyZKnSBMStdyKAx-ey6Y__AoaVIck-hLXmMGqnd_XiRQfZveTs5Jg=s88-c-k-c0x00ffffff-no-rj
UgwrsADjYQzEcz97JJd4AaABAg,@anti-halu,"Yg bayar demo untuk tujuan destabilitas Indonesia :
1. Eksternal (George Soros, NGO Australia dll)
2. Internal (Jusuf Kalla, SBY, PDIP)

Skenario venezeuela aja..pihak eksternal pengen Indonesia tak stabil, disambut oleh oposisi yg kalah pilpres dan pengusaha banyak hutang yg pengen dilunasin hutangnya oleh negara ...",8 jam yang lalu,1,https://yt3.ggpht.com/VGabqjU0nqLb2VXTFAlRnKK0kscCglZ3ez-_Rp0KGS9vyVyrnV2ZNFq8HPvyvVqkV4DVgAGY=s88-c-k-c0x00ffffff-no-rj
Ugyw0RNdMjhxTXWjvTx4AaABAg,@Kokoprasetyo-o6l,"Waduh di kasih mic lagi ,mulai OMON OMON  😂",8 jam yang lalu,0,https://yt3.ggpht.com/ytc/AIdro_n7417ek-18wzJI3ZENBm0JLEsWrCcksbQ7WKdHv1tzFUdXjGULqP2rM3Knc8d3lEC4qw=s88-c-k-c0x00ffffff-no-rj
UgwwobFiw0mmIW-aae54AaABAg,@idahrosidah6835,Ya Allah lindungilah negara Indonesia tercinta ini dari orang-orang dzalim,8 jam yang lalu,0,https://yt3.ggpht.com/ytc/AIdro_kGA5P-5Pg3ckSU5VlRG1_fFC18y55u3dDG0Ahmc47IGG1eOkHfbuwB80QnYpNLIXa46g=s88-c-k-c0x00ffffff-no-rj
Ugx_hBvOoAa3dzE5GYN4AaABAg,@ropendisianturi4602,Sama² tau pak...tapi kami bisa eksekusi.,6 jam yang lalu,0,https://yt3.ggpht.com/ytc/AIdro_nlCCbwVHNUrcvOLy53wYwtrkYrnzoXo5yuHN-GooI=s88-c-k-c0x00ffffff-no-rj
UgxJtPncoYf5tz8iQSB4AaABAg,@Runiadi,"Penyakitnya jauh dri kata sembuh,malah lbih parah nih kyknya",8 jam yang lalu,0,https://yt3.ggpht.com/ytc/AIdro_kNn6ML5JlhLrSoExrtw_OWTxjwv-pPPh8GhTrE49w-bzrwzJrjG1FoMdgRo3BUt4v3Gw=s88-c-k-c0x00ffffff-no-rj
Ugx8lo92v1N93AVhDjt4AaABAg,@yasminharahap4922,lo gw lo gw lo gw..orang no 1 masa bicara lo gw,8 jam yang lalu,1,https://yt3.ggpht.com/ytc/AIdro_ks0zOPhDfAtmOLuVsI8Di9GDAk6xm-gm4aBbOGIXPCTBo=s88-c-k-c0x00ffffff-no-rj
UgxiGaxZvV6bHP8pEup4AaABAg,@Wiwi-st9ym,Mual mual mual,6 jam yang lalu,0,https://yt3.ggpht.com/ytc/AIdro_kz3lQ9Hqs6oAEsOL6PXqKBaGQAfhnhuZ4AM0OQgQz89_f1bm0WwWRi6kOnIQ-se2plZQ=s88-c-k-c0x00ffffff-no-rj
UgwW_PdBGGl6KnAa4B14AaABAg,@mirza-y1v,Klo mng tau siapa yg bayar. Ya d proses lah.,6 jam yang lalu,0,https://yt3.ggpht.com/UYLwmtM4O1O2GLvx-Ig0eyF9Ic38S3bLlQZs5kBLHWhp0F2-DWiqpENADWY8Dm17KHAbHnKVXw=s88-c-k-c0x00ffffff-no-rj
UgyYb54LiWb6RBbjDhp4AaABAg,@Joda08-s5s,Pendemo sdh ngaku ke wakil siapa yg bayar. Wakil.sdh izin ke ketua utk ngasi uang saku agar di alihkan ke t4 lain.,9 jam yang lalu,1,https://yt3.ggpht.com/ytc/AIdro_nkHMdD8-iph0EM_9XXOHFTX5yr1_08Pyl5RsRmTC8NcKJnWauEhfigEgk72JRwumN-OA=s88-c-k-c0x00ffffff-no-rj
UgyGygsDw_0tDiYUc_J4AaABAg,@komangsudarpana5468,Tangkap aja pak Prabowo biyar fuplik semua tahu,8 jam yang lalu,0,https://yt3.ggpht.com/ytc/AIdro_ksQQl2B9h3YStUGVnbkEBwQ17nquLWhFzYP0HbtW3Fg4xF0T91e_MyLGpXuaKOx1LlOQ=s88-c-k-c0x00ffffff-no-rj
